StartDate,CanBook,Location,Title
"2023-12-07T19:00:29",false,"Skerries Scout Den","Safeguarding Training"
"2023-12-02T09:00:24",false,"Arklow Scout Den","Being A Scouter"
"2023-12-02T09:00:21",false,"Dunboyne Scout Den","Being A Scouter"
"2023-11-30T19:00:47",false,"ONLINE VIA ZOOM","Safeguarding Refresher Training"
"2023-11-28T19:30:02",false,"Kilcronaghan Centre","Being A Scouter"
"2023-11-28T19:00:08",false,"ONLINE VIA ZOOM","Safeguarding Training"
"2023-11-27T19:00:49",false,"58th/85th Donnycarney","The Story of Scouting Interactive"
"2023-11-25T09:00:57",false,"Clare County Scout Camp ","Skills Course"
"2023-11-25T09:00:24",false,"Dolphin's Barn Scout Den","Being A Scouter"
"2023-11-25T09:00:22",false,"Kilcully Scout Campsite","Being A Scouter"
"2023-11-23T19:30:29",false,"ONLINE VIA ZOOM","Overnights Adventures and International Camp"
"2023-11-21T19:00:37",false,"ONLINE VIA ZOOM","Safeguarding Training"
"2023-11-18T09:00:53",false,"St Paul's Scout Hall, Waterford","Being A Scouter"
"2023-11-18T09:00:24",false,"94 Dub Walkinstown Scout Den","Youth Led Programme"
"2023-11-16T19:00:33",false,"ONLINE VIA ZOOM","Safeguarding Training"
"2023-11-11T09:00:41",false,"Clarmorris Den","Being A Scouter"
"2023-11-11T09:00:16",false,"Kilcully Scout Campsite","Being A Scouter"
"2023-11-11T09:00:07",false,"St Olivers Hall","Being A Scouter"
"2023-11-09T09:00:08",false,"Dolphin's Barn Scout Den","Overnights Adventures and International Camp"
"2023-11-02T19:00:24",false,"ONLINE VIA ZOOM","Safeguarding Training"
"2023-11-02T19:00:08",false,"ONLINE VIA ZOOM","Safeguarding Refresher Training"
"2023-10-26T19:00:35",false,"ONLINE VIA ZOOM","Safeguarding Training"
"2023-10-24T19:00:44",false,"ONLINE VIA ZOOM","Safeguarding Refresher Training"
"2023-10-21T09:00:48",false,"Dunboyne Scout Den","Youth Led Programme"
"2023-10-21T09:00:26",false,"Midlands Park Hotel","Group Leader/County Commissioner - Modules 2 & 3"
"2023-10-21T09:00:22",false,"13th Kildare Clane Scout Den","Youth Led Programme"
"2023-10-21T09:00:16",false,"Kilcully Scout Campsite","Being A Scouter"
